"<1cm","1-2cm","2-3cm","WF","Cancer","Death"
0.166586582486903,0.00193396956899238,0.0000144264186217223,0.0252691490462266,0.00289414291103225,0.0924647442994718
0.164054128952095,0.00196406328197404,0.0000150321076917761,0.0256144047686402,0.00294188349169986,0.0945735021291462
0.161560173841412,0.00199317520318169,0.0000156397866792697,0.025945450491371,0.00298813936013548,0.0966604360484678
0.159104131900814,0.00202132487842817,0.0000162489664519474,0.0262626139447744,0.0030329328280824,0.0987257622126966
0.156685426773309,0.00204853151567021,0.0000168591763826365,0.0265662164677618,0.00307628612647521,0.100769694671649
0.154303490863698,0.00207481399050338,0.0000174699638333625,0.0268565731229318,0.00311822139669158,0.102792445393589
0.151957765205381,0.00210019085157036,0.0000180808936520454,0.0271339928097191,0.00315876068224038,0.104794224288685
0.149647699329181,0.00212468032588381,0.0000186915476814938,0.0273987783755952,0.0031979259208711,0.106775239232035
0.147372751134168,0.00214830032406528,0.0000193015242804165,0.0276512267253531,0.00323573893708958,0.108735696086291
0.145132386760444,0.00217106844550135,0.0000199104378561794,0.0278916289285076,0.0032722214350662,0.110675798723872
0.142926080463865,0.0021930019834184,0.0000205179184090401,0.0281202703248441,0.00330739499192239,0.112595749048789
0.14075331449266,0.00221411792987708,0.0000211236110875997,0.028337430628145,0.00334128105138226,0.114495747018095
0.138613578965936,0.00223443298068801,0.0000217271757552156,0.0285433840281265,0.00337390091777635,0.116375990662966
0.136506371754021,0.00225396354024967,0.0000223282865671255,0.0287383992906131,0.00340527575038486,0.118236676109411
0.134431198360634,0.00227272572630984,0.0000229266315580384,0.0289227398559824,0.00343542655810829,0.120077997598655
0.132387571806835,0.0022907353746517,0.0000235219122399531,0.0290966639359062,0.00346437419445352,0.121900147507161
0.130375012516755,0.00230800804370589,0.0000241138432099695,0.0292604246084187,0.00349213935282408,0.123703316366334
0.128393048205046,0.00232455901908945,0.0000247021517678656,0.029414269911339,0.00351874256210338,0.125487692881902
0.126441213766056,0.00234040331807307,0.000025286577543214,0.0295584429340751,0.00354420418252018,0.12725346395298
0.124519051164681,0.00235555569397743,0.000025866872131821,0.0296931819078376,0.00356854440178599,0.129000814690833
0.122626109328879,0.0023700306405001,0.0000264427987412724,0.0298187202942892,0.00359178323149413,0.130729928437344
0.120761944043814,0.00238384239597376,0.0000270141318453772,0.0299352868726558,0.00361394050377095,0.132440986783187
0.11892611784762,0.00239700494755701,0.0000275806568473044,0.0300431058253266,0.00363503586816944,0.134134169585727
0.117118199928734,0.00240953203535869,0.0000281421697512121,0.0301423968219667,0.00365508878879637,0.135809654986641
0.115337766024802,0.00242143715649687,0.0000286984768421721,0.0302333751021685,0.00367411854166382,0.137467619429274
0.113584398323119,0.00243273356909346,0.0000292493943742004,0.0303162515566666,0.00369214421225673,0.139108237675738
0.111857685362578,0.00244343429620535,0.0000297947482662025,0.0303912328071389,0.00370918469330799,0.140731682823751
0.110157221937115,0.00245355212969329,0.0000303343738056543,0.0304585212846198,0.00372525868277316,0.14233812632324
0.108482609000619,0.00246309963402928,0.0000308681153598347,0.0305183153065471,0.00374038468199681,0.143927737992695
0.106833453573289,0.00247208915004348,0.0000313958260944387,0.0305708091524666,0.0037545809940632,0.145500686035291
0.105209368649411,0.0024805327986117,0.0000319173676993953,0.0306161931384168,0.00376786572232379,0.147057137054785
0.103609973106543,0.00248844248428417,0.0000324326101217259,0.0306546536900157,0.00378025676909456,0.148597256071188
0.102034891616078,0.00249582989885674,0.0000329414313052762,0.030686373414272,0.00379177183451637,0.150121206536219
0.100483754555162,0.00250270652488522,0.0000334437169371635,0.0307115311701423,0.00380242841557161,0.151629150348549
0.0989561979199574,0.00250908363914392,0.0000339393602007801,0.0307303021378545,0.00381224380525088,0.15312124786884
0.097451863240223,0.00251497231602904,0.0000344282615352011,0.0307428578870196,0.00382123509186334,0.154597657934577
0.0959703974951912,0.00252038343090803,0.0000349103284008454,0.0307493664435516,0.00382941915848487,0.156058537874711
0.0945114530307253,0.00252532766341551,0.0000353854750512437,0.0307499923554157,0.00383681268253818,0.157504043524102
0.0930746874777357,0.00252981550069681,0.0000358536223107691,0.0307448967572243,0.00384343213549928,0.158934329237781
0.0916597636718367,0.00253385724059976,0.0000363146973581917,0.0307342374337016,0.00384929378272478,0.160349547905027
0.0902663495742242,0.00253746299481566,0.0000367686335159171,0.0307181688820341,0.003854413683395,0.161749850963263
0.0888941181937565,0.00254064269197016,0.0000372153700447777,0.0306968423731275,0.0038588076905676,0.163135388411781
0.0875427475102199,0.00254340608066486,0.0000376548519442431,0.0306704060117872,0.00386249145133689,0.164506308825294
0.0862119203987601,0.0025457627324704,0.0000380870297579226,0.0306390047958415,0.00386548040709418,0.165862759367323
0.0849013245554632,0.00254772204487177,0.0000385118593842341,0.0306027806742254,0.00386778979388442,0.167204885803418
