"<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death"
0,0,0.010488336107923,0.00271830597356475,0.000214577151224213,0.000952598130268845,0,0,0,0.0118675249952541,0.000388159735875207,0.00233102515541851,0.0000211662100577457,0.00946248242484241,0.00283056697846707,0.139430406573321,0.000605458850588891
0,0,0.0102837734556914,0.00284169815271858,0.000225995489702303,0.00102235026486852,0,0,0,0.0117154865750741,0.000404433234898976,0.00246679007657475,0.0000121497719851966,0.00783764570045987,0.0023408487612426,0.141515106393565,0.00064433041002465
0,0,0.0100832005572451,0.0029604236771631,0.000237173542990841,0.00109301958558176,0,0,0,0.0115653959646708,0.000419937595665109,0.00260137632621195,0.00000697418002039751,0.0064900590753781,0.0019353235723388,0.14323476664965,0.000682957559890065
0,0,0.00988653959713199,0.00307460251849825,0.000248111411839667,0.00116456383551089,0,0,0,0.0114172282100692,0.000434697466504532,0.0027347842099741,0.00000400330039248263,0.00537316603659547,0.00159974504367506,0.144651786094014,0.000721380562599745
0,0,0.00969371427759877,0.00318435193748081,0.000258809380736755,0.00123694176716446,0,0,0,0.0112709586769873,0.000448736789565476,0.00286701441999506,0.00000229796391627099,0.00444790447825185,0.00132217919429615,0.145818066357451,0.000759633043361479
0,0,0.00950464978899005,0.00328978654164843,0.000269267908595425,0.00131011312374688,0,0,0,0.0111265630467401,0.000462078820162716,0.00299806801964495,0.00000131907117697175,0.00368164179907993,0.00109267207499011,0.146776705119222,0.000797742972807713
0,0,0.0093192727807247,0.00339101834175889,0.000279487619784988,0.00138403862071221,0,0,0,0.0109840173121968,0.000474746145607066,0.00312794642874392,0.000000757169752578676,0.00304719674148543,0.0009029455834758,0.147563447987884,0.000835733554679191
0,0,0.00913751133283836,0.00348815680706842,0.000289469295493728,0.00145867992758029,0,0,0,0.0108432977737889,0.000486760703528963,0.00325665140922992,0.000000434628581253832,0.00252197428937775,0.00074612915509806,0.148207918961983,0.000873624002237249
0,0,0.00895929492808092,0.00358130891947258,0.000299213865413449,0.00153399965001384,0,0,0,0.0107043810355703,0.000498143799709606,0.00338418505126787,0.000000249484350106934,0.00208721782115192,0.000616528327925391,0.148734655199858,0.000911430203991246
0,0,0.00878455442455827,0.00367057922653266,0.000308722399735129,0.00160996131215474,0,0,0,0.0105672440013274,0.000508916125432755,0.00351054975978766,0.000000143208347616532,0.00172737189791918,0.000509427926676329,0.149163972717046,0.000949165287288367
0,0,0.00861322202890755,0.00375606989340994,0.000317996101445579,0.00168652933921773,0,0,0,0.010431863870739,0.000519097774369962,0.00363574824143885,0.0000000822040774031204,0.00142954441528063,0.000420926233326742,0.14951268809315,0.00098684009144275
0,0,0.00844523126999566,0.00383788075373005,0.000327036298915256,0.00176366904033982,0,0,0,0.0102982181355858,0.000528708259011642,0.0037597834919504,0.0000000471865673626284,0.00118305546518087,0.000347796128210697,0.149794718694628,0.0010244635626901
0,0,0.00828051697313074,0.00391610935939889,0.000335844438767727,0.00184134659168344,0,0,0,0.0101662845760079,0.000537766526656094,0.00388265878388385,0.0000000270859087505963,0.000979060527498209,0.000287369300551488,0.150021581040694,0.00106204308262442
0,0,0.00811901523477658,0.00399085102939129,0.000344422079021532,0.0019195290197914,0,0,0,0.0100360412568107,0.000546290974968233,0.00400437765476884,0.0000000155477817915332,0.000810236650202841,0.000237439970704745,0.150202804127983,0.0010995847406047
0,0,0.00796066339776022,0.00406219889753326,0.000352770882495499,0.00199818418519182,0,0,0,0.00990746652381821,0.000554299467119502,0.00412494389561009,0.00000000892469663332999,0.000670521603655331,0.000196184992568044,0.150346271957075,0.00113709355928258
0,0,0.00780540002696315,0.00413024395929804,0.000360892610468832,0.00207728076625078,0,0,0,0.00978053900027223,0.00056180934652012,0.00424436153975546,0.00000000512293078620043,0.000554897360500997,0.000162097638523204,0.150458507234237,0.00117457368108546
0,0,0.00765316488548652,0.00419507511763594,0.000368789116587534,0.00215678824327081,0,0,0,0.00965523758327879,0.000568837451154526,0.0043626348521145,0.00000000294065119728421,0.000459210536758501,0.000133932774742897,0.150544906262843,0.00121202852228123
0,0,0.00750389891128131,0.00425677922785751,0.000376462341009025,0.00223667688283296,0,0,0,0.0095315414402994,0.000575400127530598,0.00447976831871781,0.00000000168798483231171,0.000380023580683479,0.000110661496655983,0.15060993337177,0.0012494609001834
0,0,0.00735754419423426,0.00431544114158914,0.000383914304777035,0.00231691772238036,0,0,0,0.00940943000568747,0.00058151324425293,0.00459576663660741,0.000000000968932594503497,0.000314491499166485,0.0000914336089049161,0.150657281822138,0.00128687313813523
0,0,0.0072140439537007,0.0043711437498199,0.000391147104419093,0.0023974825550411,0,0,0,0.00928888297726905,0.000587192205230205,0.00471063470404855,0.000000000556184128387895,0.000260259770699894,0.0000755466028943161,0.15069000695537,0.00132426715212894
0,0,0.00707334251647564,0.00442396802505793,0.000398162906759182,0.00247834391468805,0,0,0,0.00916988031296746,0.000592451962526398,0.00482437761105396,0.000000000319259344174623,0.000215379821744606,0.000062420012192996,0.150710636361822,0.00136164452225783
0,0,0.0069353852951944,0.00447399306261448,0.000404963943938365,0.00255947506123355,0,0,0,0.00905240222747103,0.000597307028865323,0.00493700063021145,0.000000000183260405395324,0.000178239055204332,0.00005157421666989,0.150721261030494,0.00139900655164839
0,0,0.00680011876715463,0.00452129612103324,0.000411552508636367,0.00264084996615656,0,0,0,0.0089364291889437,0.000601771489797763,0.00504850920780635,0.000000000105194653808751,0.000147502931579704,0.0000426129254209678,0.150723610760021,0.00143635431506117
0,0,0.00666749045355127,0.00456595266168219,0.000417930949487378,0.00272244329825996,0,0,0,0.00882194191577756,0.000605859015540172,0.00515890895523007,0.0000000000603835572996359,0.00012206703012918,0.0000352087010270557,0.150719116546769,0.00147368869896847
0,0,0.00653744889911663,0.004608036387525,0.000424101666683478,0.00280423040965568,0,0,0,0.00870892137338721,0.000609582872493729,0.00526820564066687,0.0000000000346612100533866,0.000101017372340148,0.000029090997699076,0.150708962197975,0.00151101043460189
0,0,0.00640994365215744,0.00464761928108864,0.000430067107759357,0.00288618732197536,0,0,0,0.008597348771045,0.000612955934452253,0.00537640518105056,0.0000000000198961362346274,0.0000835975848172277,0.0000240362770854406,0.150694127030277,0.0015483201252016
0,0,0.00628492524498131,0.00468477164164337,0.000435829763552144,0.00296829071280397,0,0,0,0.00848720555875693,0.000615990693507295,0.00548351363428359,0.0000000000114207275642466,0.0000691817232586603,0.0000198598410672277,0.150675421193046,0.00158561826848428
0,0,0.00616234517470501,0.00471956212161117,0.000441392164330383,0.00305051790233424,0,0,0,0.00837847342417853,0.000618699270658483,0.00558953719171079,0.00000000000655569586771,0.0000572517819249863,0.0000164090833949278,0.150653514890234,0.0016229052751679
0,0,0.00604215588443694,0.00475205776221818,0.000446756876086369,0.00313284684023931,0,0,0,0.00827113428957028,0.000621093426136982,0.00569448217084054,0.0000000000037630832246146,0.0000473790809742365,0.0000135579137441656,0.15062896255455,0.00166018148424537
0,0,0.00592431074482672,0.00478232402840662,0.000451926496986235,0.00321525609276123,0,0,0,0.00816517030879199,0.000623184569449739,0.00579835500830608,0.00000000000216007509212327,0.0000392088631555322,0.0000112021505386435,0.150602222845846,0.00169744717557729
0,0,0.00580876403597455,0.00481042484302101,0.000456903653972354,0.00329772483001289,0,0,0,0.00806056386433572,0.000624983769151961,0.00590116225306013,0.00000000000123992059837827,0.0000324475465455435,0.00000925571424751177,0.15057367519497,0.00173470258027422
0,0,0.00569547092969349,0.00483642262028356,0.000461690999512807,0.00338023281349095,0,0,0,0.0079572975643967,0.000626501762355084,0.00600291055979603,0.000000000000711735946536709,0.0000268521753778186,0.0000076474820908746,0.15054363348984,0.00177194788925652
0,0,0.00558438747211761,0.00486037829857315,0.000466291208492792,0.00346276038379725,0,0,0,0.0078553542399818,0.000627748963977298,0.00610360668258871,0.000000000000408548787926469,0.000022221689956745,0.00000631868924190178,0.150512357397359,0.00180918326031139
