"<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","<1cm","1-2cm","2-3cm","WF","Cancer","Death","Surg","No comp","Comp","Cancer","Death"
0.248092827727595,0.000734015882967619,0.0000015027090151078,0.0100613570149782,0.00105836738573665,0.0292149440109544,0,0,0,0.0132933999416321,0.000282923127652778,0.00154655027665081,0.0000256958287934727,0.00124995702712032,0.000377351634289299,0.00494745355271391,0.0000157990459298765,0,0.428222859960455,0.00188813827425063,0.0265647167673176,0.00236215114571364,0.00881882484387179,0,0,0,0.012717391075527,0.0002706639440978,0.0014795375729678,0.0000988915527441915,0.00481051583387113,0.00145225473540306,0.0190404975021443,0.0000608033388002325,0,0,0.0118040534815429,0.00187287808575193,0.000141041155124509,0.000555844640561497,0,0,0,0.0128220982824373,0.000272892425193452,0.00149171917891704,0.000591688253106841,0.0287822936469484,0.00868913515474401,0.113923165252258,0.000363798730219514
0.24432131414493,0.00079774750980689,0.00000181007362139441,0.0109150876966796,0.00115252375971318,0.0319745315464958,0,0,0,0.013123094210087,0.000305159559270173,0.00169461957657854,0.0000147498517665468,0.00104279598288694,0.000314344608699228,0.005226758887699,0.0000176077577951624,0,0.424449032464605,0.00204772657068565,0.0289209174468841,0.00258591281645461,0.00985310169297958,0,0,0,0.0125544647662327,0.000291936861353301,0.0016211909650066,0.0000567654678766772,0.00401324723837242,0.00120976936377038,0.0201154166451855,0.0000677642477579696,0,0,0.0115738293103854,0.00202694897458769,0.000153891765785632,0.000619147312222119,0,0,0,0.0126578305377278,0.000294340490616955,0.00163453885820309,0.000339639328058952,0.0240120736490095,0.00723829590746831,0.120354624889891,0.000405447262848922
0.240607135209279,0.000859850297456559,0.00000214067541143283,0.0117434146009798,0.00124462852449682,0.0347058454236242,0,0,0,0.0129549703163204,0.00032642868543706,0.0018414743441783,0.00000846667094818007,0.000867786226797627,0.000261194918150244,0.00545942140236069,0.0000193878705901407,0,0.420708462824185,0.0022024713328992,0.0312258266651593,0.00280722115467586,0.0109127090146897,0,0,0,0.0123936257547263,0.0003122843869289,0.00176168245093736,0.0000325843639202777,0.00333971432125357,0.00100522038936261,0.0210108287965191,0.0000746150919074265,0,0,0.0113480953907392,0.0021755730689362,0.000166505913008948,0.000683642990296488,0,0,0,0.0124956672763374,0.000314855545252399,0.00177618706495804,0.000194958869909332,0.0199821893557485,0.00601443783280344,0.125712057723449,0.00044643725536714
0.236949419317853,0.000920354823903253,0.0000024933140669435,0.0125468794104849,0.00133470115596099,0.0374091667089782,0,0,0,0.0127890003081544,0.000346760906674415,0.00198711213110693,0.00000486001609232029,0.000720905215937122,0.000216654324826576,0.0056526944161894,0.000021143115801462,0,0.417000857945525,0.00235248228280222,0.0334802356807901,0.00302603866855554,0.0119970764139355,0,0,0,0.0122348473000103,0.000331735604077629,0.00190100968850471,0.0000187039905034469,0.00277443614519716,0.0008338039128081,0.0217546486824115,0.0000813702320427959,0,0,0.0111267641455331,0.0023188878850417,0.000178882378826375,0.000749282953579662,0,0,0,0.0123355815370995,0.000334466911806501,0.00191666143764183,0.0001119097755067,0.016600015173739,0.00498881822474014,0.130162483231968,0.000486854631323686
0.233347308117996,0.000979291151028293,0.00000286682670573538,0.013326013604512,0.00142276149257846,0.0400847735384271,0,0,0,0.012625156591515,0.000366185758831184,0.00213153099558957,0.00000278973359921225,0.000598175833988215,0.000179493597752896,0.00581292083536256,0.000022877088143995,0,0.413325927317923,0.00249786686787482,0.0356849254444105,0.00324233058488828,0.0131056407765117,0,0,0,0.0120781030036737,0.000350318768847107,0.00203917082007176,0.0000107364152207778,0.00230210659919142,0.000690789183415412,0.0223712872625494,0.0000880435025859172,0,0,0.0109097497057835,0.00245702785628096,0.000191020192763418,0.000816019608152885,0,0,0,0.012177546704255,0.000353203078969868,0.00205596010332292,0.0000642381537181887,0.0137739715308627,0.00413313204068558,0.133851957147135,0.000526782164875339
0.229799956305747,0.00103668883290527,0.00000326008691483559,0.0140813386393904,0.00150882970812252,0.042732941158167,0,0,0,0.012463411925844,0.0003847319367016,0.00227472948339012,0.00000160135551132674,0.000495934694632948,0.000148583504326146,0.00594554448541122,0.0000245930489652356,0,0.409683382990878,0.00263873030671107,0.0378406667124845,0.00345606475328263,0.0142378462282527,0,0,0,0.011923366805504,0.000368061332673514,0.0021761644544151,0.00000616288870397507,0.00190862697623619,0.000571830298726086,0.0228816953443174,0.0000946474549793029,0,0,0.0106969678772805,0.00259012439842543,0.000202918620212539,0.000883806467062294,0,0,0,0.0120215365030274,0.000371091724196985,0.00219408165932341,0.0000368738153073552,0.0114197029985265,0.00342137686321923,0.136905832406371,0.000566294953852885
0.226306531427481,0.00109257692396749,0.00000367200380628261,0.0148133661256961,0.00159292628541417,0.045353941964882,0,0,0,0.0123037394195703,0.000402427317009036,0.00241670660935639,0.00000091920586050963,0.000410936548213152,0.000122925821300721,0.00605518165537318,0.0000262938580993185,0,0.406072939551528,0.00277517563366511,0.0399482201602347,0.00366721155317672,0.0153931440930044,0,0,0,0.0117706129791534,0.000384989964369538,0.00231198964906961,0.00000353760509411742,0.00158150778707165,0.000473085551685777,0.0233036389236882,0.000101193095423237,0,0,0.010488336107923,0.00271830597356475,0.000214577151224213,0.000952598130268845,0,0,0,0.0118675249952541,0.000388159735875207,0.00233102515541851,0.0000211662100577457,0.00946248242484241,0.00283056697846707,0.139430406573321,0.000605458850588891
0.222866213684553,0.00114698398704731,0.00000410152109508129,0.0155225980024702,0.00167507199108207,0.0479480455449998,0,0,0,0.0121461125256387,0.00041929898077323,0.00255746183952384,0.000000527640119897678,0.000340373162734648,0.000101658345732683,0.00614571596864625,0.0000279819716134061,0,0.402494314102289,0.00290730374261614,0.0420083364936575,0.00387574380359501,0.0165709928494511,0,0,0,0.0116198161278625,0.000401130571522422,0.00244664589320766,0.00000203064673127288,0.00130994142457203,0.000391236715488414,0.0236520642999686,0.000107689876202652,0,0,0.0102837734556914,0.00284169815271858,0.000225995489702303,0.00102235026486852,0,0,0,0.0117154865750741,0.000404433234898976,0.00246679007657475,0.0000121497719851966,0.00783764570045987,0.0023408487612426,0.141515106393565,0.00064433041002465
0.219478195740917,0.00119993810128937,0.00000454761619882866,0.0162095267084717,0.00175528785130286,0.0505155187130673,0,0,0,0.0119905050370962,0.00043537323507729,0.00269699507376227,0.000000302874587822234,0.000281850190509573,0.0000840472037659501,0.00622039734907128,0.000029659470912251,0,0.398947226238687,0.0030352134298695,0.0440217565606244,0.00408163667557081,0.0177708580868569,0,0,0,0.011470951180237,0.000416508321317792,0.00258013309103776,0.00000116562647257777,0.00108471313397831,0.000323459443593957,0.0239394789512208,0.000114145807697347,0,0,0.0100832005572451,0.0029604236771631,0.000237173542990841,0.00109301958558176,0,0,0,0.0115653959646708,0.000419937595665109,0.00260137632621195,0.00000697418002039751,0.0064900590753781,0.0019353235723388,0.14323476664965,0.000682957559890065
0.216141682533673,0.00125146686993964,0.00000500929935853018,0.0168746353505132,0.00183359512849065,0.0530566255492723,0,0,0,0.011836891082735,0.000450675634250445,0.00283530662895025,0.000000173855270835503,0.00023334577597289,0.0000694737043360878,0.00628193564875566,0.0000313281045114055,0,0.395431398027387,0.00315900143621097,0.0459892114610684,0.00428486760716154,0.0189922124597812,0,0,0,0.0113239933860801,0.000431147660804553,0.00271245154570798,0.000000669089828698277,0.000898041713218416,0.0002673726756162,0.0241763118651516,0.000120567619148061,0,0,0.00988653959713199,0.00307460251849825,0.000248111411839667,0.00116456383551089,0,0,0,0.0114172282100692,0.000434697466504532,0.0027347842099741,0.00000400330039248263,0.00537316603659547,0.00159974504367506,0.144651786094014,0.000721380562599745
